"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","REPUBLIC","XMAS","substitute_avg_price","sum_rows","weekly_qty","yhat"
"23",2016-06-05,20.1442400797079,121.730846391998,12.1610845621425,42.1058002806212,-17.1686928708697,-22.1682964809777,0,24.9134047203655,0,0,0,0,0,-68.318090871015,0,0,0,-5.1335714683201,108.266724343653,326,321.098062662079
"24",2016-06-12,15.4161224444549,-19.0706045214997,11.4198900215131,30.5616963101934,-11.6465729158323,0,0,20.5146047518552,0,0,0,0,0,0,0,0,0,-1.25825758947272,45.9368785012119,242,245.732131422633
"25",2016-06-19,14.0817492302469,-17.4199103249576,12.0557960852212,26.4184146544235,-9.35798174450849,0,0,2.86983923845196,0,0,0,0,0,0,0,0,0,-6.10189659306658,22.5460105458109,154,224.462296856773
"26",2016-06-26,14.6609619044575,-18.1364287545115,14.1371802668644,25.9742801651968,-8.51311550236301,0,0,8.77278788787359,0,0,0,0,0,0,0,0,0,-3.95222047125068,32.9434454962671,322,233.694914559026
"27",2016-07-03,18.4038786307927,17.9367423264906,19.8844880236284,30.7291910727135,-9.28385547969862,0,0,22.2101690024131,9.21120945873088,0,0,0,0,0,0,0,0,-1.42482397921287,107.666999055858,284,293.356798292351
"28",2016-07-10,16.5118171793978,-20.4260401079562,19.248783812905,25.9342487443692,-7.20033412963068,0,0,23.8708199587277,4.1650687072534,0,0,0,0,0,0,0,0,5.49651866868288,67.600882833749,278,263.197444349161
"29",2016-07-17,16.0462342053067,-19.8500879641648,19.2727709711538,23.665255505116,-6.02319997932355,0,0,16.7685736343325,8.03119968644162,0,0,0,0,0,0,0,0,1.1124162335652,59.0231622924275,259,255.776077725375
"30",2016-07-24,17.8918838025436,17.4377432029345,21.3141605012692,24.7354971281865,-5.76018383916005,0,0,18.3252305580331,6.74292729894046,0,0,0,0,0,0,0,0,-3.29456031028241,97.3926983424649,263,285.195629303436
"31",2016-07-31,16.2709370366176,-20.12805791713,18.8300949582771,21.0530339726595,-4.47903308875516,0,0,23.8109302956521,8.14366428625218,0,0,0,0,0,0,0,0,-0.255221061055295,63.246348482518,243,259.357828316269
"32",2016-08-07,19.1581604837023,55.5877971698591,20.9363548620402,23.1657822325298,-4.49764216277788,0,0,5.74708638720153,0,0,0,0,0,0,0,0,0,1.07132806709728,121.168867039652,266,305.380008932812
"33",2016-08-14,-0.93846034987601,-18.3242185410196,14.9216767675979,16.7153212514736,-2.95915745268897,0,0,20.4013609053384,0,0,0,0,0,0,6.1950455291643,0,0,0.421360668491133,36.4329287784808,233,236.114658749412
"34",2016-08-21,-0.869972208700062,-16.9869306454337,12.0290174044478,14.4418623199062,-2.32995626363979,0,0,6.95515647985226,0,0,0,0,0,0,0,0,0,4.91884024880562,18.1580173352382,232,218.883185854175
"35",2016-08-28,-0.873965188775685,-17.0648969010618,10.021083150976,13.5052330732818,-1.98491556633621,0,0,15.8379760404233,0,0,0,0,0,0,0,0,0,-0.441319447837174,18.9991951606702,224,219.887811279285
"36",2016-09-04,-0.854465007034662,-16.6841396406631,7.84166055779605,12.2771955352322,-1.64350022438293,0,0,9.22419864902935,0,0,0,0,0,0,0,0,0,4.05178822636304,14.2127380963399,262,214.981606389611
"37",2016-09-11,-0.830860619406849,-16.2232443482019,5.77209077009738,11.0884467781369,-1.35189755775943,0,0,8.36280674820938,0,0,0,0,0,0,0,0,0,1.31901035214432,8.13635212321975,164,209.042791893644
"38",2016-09-18,-0.886012497363879,-17.3001306170421,4.13014716774754,10.9721775757558,-1.21838529789525,0,0,21.0311136690442,0,0,0,0,0,0,0,0,0,5.43063433463692,22.1595443348833,205,222.918888891174
"39",2016-09-25,-0.802674158457108,-15.6728802647227,2.06103209059538,9.21522133353068,-0.932109676852832,0,0,7.45882320021508,0,0,0,0,0,0,0,0,0,-0.260769228849682,1.06664329545876,185,201.951137345445
