"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","display","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","XMAS","REPUBLIC","substitute_avg_price","sum_rows","weekly_qty","yhat"
"17",2016-04-24,-72072.9887853584,10.6947744199733,-1.11341264262112,0,0,0,0,0,0.261423769301036,0,0,0,-18.6397657013897,0,0,0,0,0,-3.37804524649734,-72085.1638107596,14,18.023966303477
"18",2016-05-01,-191939.077306746,28.4814764694547,1.61638343473796,0,0,-4.09966252489318,0,0,1.91142272981106,0,0,0,0,10.2420684968719,0,0,0,0,-9.50315667614386,-191910.428774816,48,48.0000000000008
"19",2016-05-08,-57970.5499629909,-6.60972745096299,1.90941725701752,0,0,0,0,0,2.10177951328264,0,0,0,0,0,0,0,0,0,-2.64037572620501,-57975.7888693978,18,14.4972375467693
"20",2016-05-15,-67242.6497533723,-7.66692032823735,3.59528186480863,0,0,0,0,0,3.22603113690153,0,0,0,0,0,0,0,0,0,-3.20864805449047,-67246.7040087533,22,16.815998250339
"21",2016-05-22,-60340.6646466687,-6.87996487490734,4.34273369490842,0,0,0,0,0,0.378310842200802,0,0,0,0,0,0,0,0,0,-3.23367242620115,-60346.0572394327,9,15.0899542900863
"22",2016-05-29,-78060.5461787992,-8.9003629471269,7.4366362982,0,0,0,0,0,2.37549251922096,0,0,0,0,0,0,0,0,0,-3.87875150184844,-78063.5131644308,22,19.5213307741098
"23",2016-06-05,-380928.799151809,89.5446772229035,44.5037958785532,-89.8292680997996,33.0345865840948,-8.1363292167933,-120.468791268174,0,14.0073153013947,0,0,0,0,0,-86.0273029284179,0,0,0,-19.1169403468428,-381071.287408682,76,95.2624270984992
"24",2016-06-12,-85663.6983788172,-9.76726456945742,11.5625654709863,-18.7039709894052,6.75152730501269,0,0,0,3.37924978482722,0,0,0,0,0,0,0,0,0,-4.16247521213783,-85674.6387470274,28,21.4227221464234
"25",2016-06-19,-82757.4340426248,-9.43589605259928,12.2830537000574,-16.7032558980472,5.87530360656534,0,0,0,0.517839997208338,0,0,0,0,0,0,0,0,0,-4.11138031656408,-82769.0083775882,37,20.6959254456437
"26",2016-06-26,-97784.9320526031,-11.1493120229369,15.6139384801647,-18.2184340780097,6.2018976387328,0,0,0,1.77483376750544,0,0,0,0,0,0,0,0,0,-4.68336267070506,-97795.3924914883,19,24.4539924041827
"27",2016-07-03,-249910.906337657,14.4096172940195,42.59918436446,-42.9281261590434,14.0532005040829,0,0,0,8.97568771598554,5.78849782641191,0,0,0,0,0,0,0,0,-11.9215841271789,-249879.929860238,41,62.4975574152461
"28",2016-07-10,-140575.622664116,-16.0282514596189,24.9651376806625,-22.2399035132796,6.96069271196832,0,0,0,6.00247309377133,1.66757410054257,0,0,0,0,0,0,0,0,-7.2839732521194,-140581.578914754,33,35.1550605669215
"29",2016-07-17,-148371.669758988,-16.9171467094462,26.7613125748539,-21.6001111814429,6.42935003602918,0,0,0,4.63798655060913,3.43662107623511,0,0,0,0,0,0,0,0,-6.84493350568187,-148375.766680147,32,37.1046909694675
